,Date,Price,SMA10,SMA20,SMA50,SMA100,SMA200,EMA13,EMA25,RSI,UBB,LBB,ATR,CE,TSI
0,2000-01-03,89.375,,,,,,89.375,89.375,,,,,,
1,2000-01-04,81.9375,,,,,,88.3125,88.80288461538463,,,,,,-100.0
2,2000-01-05,69.75,,,,,,85.66071428571429,87.33727810650889,,,,,,-100.0
3,2000-01-06,65.5625,,,,,,82.78954081632654,85.66229517523898,,,,,,-100.0
4,2000-01-07,69.5625,,,,,,80.89996355685132,84.4238493925283,,,,,,-98.82159658871709
5,2000-01-10,69.1875,,,,,,79.22675447730113,83.25182251617997,,,,,,-97.87220435949612
6,2000-01-11,66.75,,,,,,77.44436098054383,81.9824515533969,,,,,,-97.10371601589316
7,2000-01-12,63.5625,,,,,,75.46123798332329,80.5655322031356,,,,,,-96.48507840339097
8,2000-01-13,65.9375,,,,,,74.10070398570568,79.44029895674056,,,,,,-95.22851629881593
9,2000-01-14,64.25,70.5875,,,,,72.6934605591763,78.27181442160668,,,,,,-94.19318309505078
10,2000-01-18,64.125,68.0625,,,,,71.46939476500826,77.18359792763694,,,,,,-93.32221334791184
11,2000-01-19,66.8125,66.55,,,,,70.8041240842928,76.38582116397257,,,,,,-91.6710180303834
12,2000-01-20,64.75,66.05,,,,,69.93924921510812,75.49075799751314,,,,,,-90.30056571096384
13,2000-01-21,62.0625,65.7,,,,,68.81399932723554,74.45781507462752,19.944979367262718,,,6.291294285714286,72.62611714285714,-89.18517615208665
14,2000-01-24,70.125,65.75625,,,,,69.00128513763046,74.12452160734848,32.00934579439253,,,6.348214285714286,72.45535714285714,-85.29691013450037
15,2000-01-25,69.25,65.7625,,,,,69.03681583225469,73.74955840678322,36.48468708388815,,,6.026785714285714,57.04464285714286,-82.07449720581992
16,2000-01-26,64.8125,65.56875,,,,,68.4333421419326,73.06209237549221,43.70015948963318,,,5.40625,57.15625,-79.541407058843
17,2000-01-27,66.9375,65.90625,,,,,68.2196504073708,72.59096988506974,51.851851851851855,,,5.008928571428571,58.348214285714285,-76.62282393446674
18,2000-01-28,61.6875,65.48125,,,,,67.2864860634607,71.75224143237207,39.73941368078176,,,5.151785714285714,57.91964285714286,-74.45751793761345
19,2000-01-31,64.5625,65.5125,68.05,,,,66.89734519725204,71.19918439911268,44.34250764525994,81.3069247049072,61.4215376475464,5.098214285714286,58.08035714285714,-71.55899007189149
20,2000-02-01,67.4375,65.84375,66.953125,,,,66.97451016907318,70.9098240607194,50.8320726172466,75.61460154772799,62.62238672613601,5.1875,57.8125,-68.0435483315327
21,2000-02-02,69.4375,66.10625,66.328125,,,,67.3263658592056,70.79656836374099,57.320872274143305,71.56320326186912,63.71058586906544,5.174107142857143,57.85267857142857,-64.3442928017085
22,2000-02-03,84.1875,68.05,67.05,,,,69.73509930789051,71.82664002806861,67.38095238095238,76.53133554327714,62.30933222836143,6.0625,67.75,-55.75503395886315
23,2000-02-04,78.5625,69.7,67.7,,,,70.99615654962044,72.34478310283257,62.67995570321152,78.4495868953673,62.32520655231635,6.183035714285714,67.38839285714286,-49.575902254287676
24,2000-02-07,75.0,70.1875,67.971875,,,,71.56813418538896,72.54903055646083,59.081419624217126,79.18486052607174,62.36538223696412,6.415178571428571,66.69196428571428,-45.12110719578211
25,2000-02-08,83.125,71.575,68.66875,,,,73.21911501604768,73.3625666675023,62.48803827751196,81.77278086840074,62.11673456579963,6.848214285714286,65.39285714285714,-38.937972739172224
26,2000-02-09,80.25,73.11875,69.34375,,,,74.2235271566123,73.8923692315406,61.72022684310019,83.38864394949749,62.321303025251254,6.895089285714286,65.25223214285714,-34.49280491215562
27,2000-02-10,76.1875,74.04375,69.975,,,,74.5040947056677,74.06891775219133,60.46296296296296,84.06064031763889,62.93217984118055,6.895089285714286,65.25223214285714,-31.5867691595731
28,2000-02-11,76.1875,75.49375,70.4875,,,,74.7445811762866,74.23188561740739,55.099894847528915,84.69991581005475,63.38129209497262,6.345982142857143,66.89955357142857,-29.26066637978223
