,Date,Price,SMA10,SMA20,SMA50,SMA100,SMA200,EMA12,EMA26,RSI,UBB,LBB
1498,2005-12-16,49.21,49.068,48.761,48.761,44.5582,44.5582,48.874404488500595,48.874404488500595,60.643564356435654,49.74881843633113,48.26709078183444
1499,2005-12-19,48.37,49.022000000000006,48.7805,48.7805,44.585100000000004,44.585100000000004,48.79680379796204,48.79680379796204,48.07692307692308,49.71749351230575,48.31200324384713
1500,2005-12-20,48.14,48.910000000000004,48.788,48.788,44.615,44.615,48.695757059814035,48.695757059814035,46.6804979253112,49.70043110770819,48.3317844461459
1501,2005-12-21,48.97,48.92399999999999,48.794,48.794,44.6554,44.6554,48.73794828138111,48.73794828138111,49.706457925635995,49.709720021563655,48.33613998921817
1502,2005-12-22,49.22,49.011,48.842999999999996,48.842999999999996,44.6825,44.6825,48.81211008424555,48.81211008424555,51.509433962264126,49.738558631891706,48.39522068405414
1503,2005-12-23,49.22,49.059,48.900999999999996,48.900999999999996,44.7136,44.7136,48.87486237897701,48.87486237897701,53.846153846153854,49.73088648557817,48.48605675721091
1504,2005-12-27,48.56,49.007999999999996,48.911500000000004,48.911500000000004,44.7446,44.7446,48.826422012980544,48.826422012980544,43.39622641509437,49.71698841018683,48.50875579490659
1505,2005-12-28,48.06,48.864,48.887,48.887,44.7725,44.7725,48.70851093406046,48.70851093406046,42.83054003724397,49.76530218993238,48.44784890503381
1506,2005-12-29,47.99,48.721999999999994,48.8635,48.8635,44.7958,44.7958,48.59797079035886,48.59797079035886,46.37096774193549,49.8122337821916,48.389133108904204
1507,2005-12-30,47.15,48.489,48.771,48.771,44.808,44.808,48.37520605338057,48.37520605338057,35.30499075785578,49.986841056093276,48.16307947195337
1508,2006-01-03,47.58,48.326,48.696999999999996,48.696999999999996,44.8362,44.8362,48.25286666055279,48.25286666055279,36.4791288566243,50.01467099159956,48.03816450420021
1509,2006-01-04,47.25,48.214,48.618,48.618,44.8566,44.8566,48.09857948200621,48.09857948200621,29.205175600739352,50.08328387765064,47.88535806117468
1510,2006-01-05,47.65,48.165,48.5375,48.5375,44.891099999999994,44.891099999999994,48.02956725400525,48.02956725400525,34.61538461538461,50.03090832361756,47.79079583819122
1511,2006-01-06,47.87,48.055,48.4895,48.4895,44.919399999999996,44.919399999999996,48.00501844569675,48.00501844569675,36.28620102214649,50.00487349920829,47.73181325039585
1512,2006-01-09,47.08,47.840999999999994,48.426,48.426,44.9475,44.9475,47.86270791558956,47.86270791558956,33.3333333333333,50.06719853508843,47.60540073245579
1513,2006-01-10,45.651,47.4841,48.27155,48.27155,44.96281,44.96281,47.52244515934501,47.52244515934501,30.52013182404356,50.31935822241409,47.24764588879295
1514,2006-01-11,44.93,47.1211,48.064550000000004,48.064550000000004,44.97481,44.97481,47.123607442522705,47.123607442522705,28.514056224899576,50.56046948883251,46.816590255583755
1515,2006-01-12,44.36,46.7511,47.807550000000006,47.807550000000006,44.981210000000004,44.981210000000004,46.69843706674998,46.69843706674998,18.030513176144225,50.707018588333675,46.35781570583317
1516,2006-01-13,44.4,46.3921,47.557050000000004,47.557050000000004,44.98751,44.98751,46.34483136417306,46.34483136417306,15.571428571428527,50.7266890945138,45.972230452743105
