,LBB,UBB,LowBollinger,HighBollinger
0,,,False,False
1,,,False,False
2,,,False,False
3,,,False,False
4,,,False,False
5,,,False,False
6,,,False,False
7,,,False,False
8,,,False,False
9,,,False,False
10,,,False,False
11,,,False,False
12,,,False,False
13,,,False,False
14,,,False,False
15,,,False,False
16,,,False,False
17,,,False,False
18,,,False,False
19,54.7930752950928,81.3069247049072,False,False
20,58.291648452272014,75.61460154772799,False,False
21,61.09304673813088,71.56320326186912,False,False
22,57.568664456722864,76.53133554327714,False,True
23,56.9504131046327,78.4495868953673,False,True
24,56.75888947392825,79.18486052607174,False,False
25,55.564719131599254,81.77278086840074,False,True
26,55.298856050502515,83.38864394949749,False,False
27,55.8893596823611,84.06064031763889,False,False
28,56.27508418994525,84.69991581005475,False,False
29,56.99708206215157,84.99666793784843,False,False
30,57.816195404234115,85.14630459576588,False,False
31,58.17983761139807,85.17016238860192,False,False
32,58.72164254096688,85.05335745903312,False,False
33,59.228651374827045,84.81509862517295,False,False
34,58.37004116554769,85.0174588344523,False,False
35,58.464732570693045,85.04151742930695,False,False
36,58.949155986485195,84.91959401351481,False,False
37,59.19966345363457,84.88783654636543,False,False
38,59.9767200579208,84.5170299420792,False,False
39,60.616697945441246,84.30830205455877,False,False
40,60.37949146793606,84.38925853206395,False,False
41,59.308744492785095,84.77250550721492,False,False
42,58.90427238328981,83.00822761671019,False,False
43,58.34266846820127,82.10733153179872,False,False
44,57.62840484794138,81.67159515205863,False,False
45,58.190158184562996,79.159841815437,False,False
46,59.139173528308426,77.06707647169158,False,False
47,59.51360331377728,75.76139668622272,False,False
48,59.98735693681945,74.20014306318055,False,False
49,60.425470868078285,72.88077913192171,False,False
50,60.79263910218164,71.50736089781837,False,False
51,61.01267623990113,70.84357376009885,False,False
52,61.001497928585685,70.43600207141432,False,False
53,60.942447544940386,70.4388024550596,False,False
54,60.6375484628807,71.62495153711929,False,True
55,60.60781773410014,71.67968226589986,False,False
56,60.62585731814153,71.58664268185848,False,False
57,60.19330693295559,72.3754430670444,False,True
58,59.84725545986275,73.45899454013725,False,False
59,59.80174272647922,73.62950727352079,False,False
60,59.82806174118043,73.64068825881957,False,False
61,60.30694517053421,73.5555548294658,False,False
62,60.868534847251354,73.44396515274865,False,False
63,60.807278003393925,73.46772199660609,False,False
64,60.879253505407576,73.43949649459242,False,False
65,60.607343041212204,73.56765695878781,False,False
66,60.31400261402743,73.40474738597257,False,False
67,60.340815241636534,73.44668475836346,False,False
68,60.090035036005695,73.5037149639943,False,False
69,59.82111049460229,73.54763950539773,False,False
70,58.124499848349615,74.50675015165038,True,False
71,53.818164595847186,76.98808540415283,True,False
72,50.25764088043663,78.75485911956335,True,False
73,47.40271277704299,79.897287222957,True,False
74,46.63105855020149,78.92519144979852,False,False
75,45.70472695391618,78.12652304608382,False,False
76,44.643203154298504,77.65679684570149,False,False
77,43.69664776695957,76.31585223304043,False,False
78,43.56647207944209,74.3772779205579,False,False
79,43.4936905376378,72.78755946236221,False,False
80,43.16655331125711,71.77719668874289,False,False
81,43.222888753581174,70.58961124641883,False,False
82,43.622752567235494,69.48349743276451,False,False
83,43.67895415820415,68.68354584179585,False,False
84,43.71068871656095,67.67056128343904,False,False
85,43.75070661061405,66.91804338938596,False,False
86,44.1286024266101,65.9651475733899,False,False
87,45.24859059919069,63.69047240080931,False,False
88,45.839076366199066,62.38748663380095,False,False
89,46.57646522597304,60.643847774026966,False,False
90,46.59422025256519,60.476092747434826,False,False
91,47.389291068095154,60.25602193190486,False,False
92,48.679017903784505,59.8850450962155,False,False
93,50.01211070831657,59.75195229168344,False,False
94,49.59869962537836,60.77161337462165,False,True
95,49.75631327648446,60.80774972351554,False,False
96,49.795435340638704,60.793627659361306,False,False
97,50.26636735845742,60.528945641542585,False,False
98,48.776964339775965,61.44334866022404,True,False
99,47.91112105832835,61.815441941671665,False,False
100,46.40844486330004,62.580618136699975,True,False
101,45.231536986323455,62.888776013676555,False,False
102,45.21928190706333,62.08228109293668,False,False
103,44.59076551845152,61.9295474815485,False,False
104,44.29827712155773,61.82828587844227,False,False
105,44.216424728323496,62.19138827167651,False,False
106,44.34047229783948,61.66734070216053,False,False
107,44.12384995548534,61.338650044514665,False,False
108,44.05649914634146,60.96225085365854,False,False
109,43.98893269697878,60.88606730302122,False,False
110,43.93266521337724,60.67358478662276,False,False
111,43.524410233739104,60.5505897662609,False,False
112,43.28917400949075,60.079575990509255,False,False
113,43.10724773814144,58.999002261858564,False,False
114,43.62786607995077,57.00963392004923,False,False
115,43.339456931052084,56.36054306894792,False,False
116,42.810723574037056,56.158026425962944,False,False
117,42.461721370876994,55.932028629123,False,False
118,42.37586938952373,55.95538061047627,False,False
119,41.328798906917584,56.34620109308241,False,False
120,38.26901307902015,58.243486920979855,True,False
121,35.770729808657265,59.48552019134273,True,False
122,34.19110156091607,59.540148439083936,False,False
123,33.074492643634244,59.613007356365756,False,False
124,31.940776017575992,59.440473982424,False,False
125,31.519550410722537,57.70544958927746,False,False
126,31.095503884296363,56.37949611570363,False,False
127,30.426454361411757,55.64229563858824,False,False
128,29.984765316851245,54.50898468314876,False,False
129,29.792234697897754,53.12651530210225,False,False
