PERMNO,date,BIDLO,ASKHI,PRC,vwretd
84788,2000-05-31,48.12500,52.25000,48.31250,-0.001740
84788,2000-06-01,46.37500,51.12500,50.18750,0.025195
84788,2000-06-02,52.25000,58.12500,57.87500,0.029096
84788,2000-06-05,52.50000,56.25000,54.50000,-0.003705
84788,2000-06-06,50.25000,54.56250,50.56250,-0.007927
84788,2000-06-07,50.12500,52.18750,51.81250,0.011114
84788,2000-06-08,51.62500,53.43750,51.87500,-0.005120
84788,2000-06-09,51.87500,53.25000,52.18750,0.001025
84788,2000-06-12,47.00000,52.18750,48.43750,-0.011024
84788,2000-06-13,46.25000,49.50000,49.00000,0.014502
84788,2000-06-14,46.00000,49.87500,46.43750,-0.000844
84788,2000-06-15,45.31250,47.93750,46.31250,0.004970
84788,2000-06-16,45.37500,47.43750,46.00000,-0.006716
84788,2000-06-19,43.50000,45.87500,45.31250,0.016156
84788,2000-06-20,45.12500,48.62500,46.12500,-0.002430
84788,2000-06-21,45.06250,46.93750,46.06250,0.003636
84788,2000-06-22,41.62500,46.43750,42.00000,-0.018904
84788,2000-06-23,32.46875,37.00000,33.87500,-0.009194
84788,2000-06-26,32.81250,35.32813,33.93750,0.009773
84788,2000-06-27,33.50000,38.50000,36.50000,-0.005300
84788,2000-06-28,36.12500,39.93750,37.87500,0.007521
84788,2000-06-29,36.12500,38.50000,37.12500,-0.006933
84788,2000-06-30,35.50000,37.25000,36.31250,0.007400
84788,2000-07-03,36.50000,37.50000,37.00000,0.010019
84788,2000-07-05,36.37500,38.50000,36.50000,-0.015790
84788,2000-07-06,34.75000,37.37500,36.06250,0.008412
84788,2000-07-07,35.25000,37.00000,36.12500,0.014433
84788,2000-07-10,35.00000,36.37500,35.06250,-0.001199
84788,2000-07-11,32.62500,35.25000,33.12500,0.002003
84788,2000-07-12,34.25000,36.12500,35.06250,0.013264
84788,2000-07-13,34.87500,36.00000,35.00000,0.005768
84788,2000-07-14,36.31250,43.20313,42.50000,0.009675
84788,2000-07-17,40.25000,43.93750,41.12500,0.001402
84788,2000-07-18,39.50000,43.62500,41.75000,-0.012818
84788,2000-07-19,39.00000,41.56250,40.87500,-0.011338
84788,2000-07-20,39.50000,43.37500,40.31250,0.013250
84788,2000-07-21,40.43750,42.50000,41.12500,-0.011642
84788,2000-07-24,38.06250,41.37500,38.75000,-0.013586
84788,2000-07-25,33.25000,38.75000,37.62500,0.005435
84788,2000-07-26,34.06250,36.71875,36.06250,-0.011710
84788,2000-07-27,29.75000,32.00000,31.37500,-0.009848
84788,2000-07-28,29.00000,32.12500,30.00000,-0.023334
84788,2000-07-31,27.87500,30.25000,30.12500,0.010123
84788,2000-08-01,30.25000,32.25000,30.25000,0.001448
84788,2000-08-02,30.21875,32.00000,30.81250,0.000690
84788,2000-08-03,29.31250,31.75000,31.50000,0.010131
84788,2000-08-04,31.50000,34.18750,32.50000,0.009086
84788,2000-08-07,31.62500,34.25000,33.81250,0.012497
84788,2000-08-08,32.43750,33.37500,32.93750,0.001074
84788,2000-08-09,30.37500,32.37500,30.87500,-0.005173
